,particulares,aseguradoras,aseguradoras_enfermedad,aseguradoreas_trafico,mutuas,tipo,año,ncodi
2894,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"735,00"
2895,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"146,00"
2896,17125.0,56967.0,56967.0,0.0,0.0,hospDia,2013,"363,00"
2897,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"187,00"
2898,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"265,00"
2899,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"295,00"
2900,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"496,00"
2901,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"77,00"
2902,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"391,00"
2903,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"240,00"
2904,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"448,00"
2905,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"151,00"
2906,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"425,00"
2907,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"300,00"
2908,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"339,00"
2909,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"826,00"
2910,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"874,00"
2911,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"905,00"
2912,820.0,19358.0,19358.0,0.0,124.0,hospDia,2013,"736,00"
2913,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"459,00"
2914,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"320,00"
2915,32099.0,0.0,0.0,0.0,0.0,hospDia,2013,"45,00"
2916,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"292,00"
2917,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"618,00"
2918,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"463,00"
2919,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"891,00"
2920,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"958,00"
2921,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"244,00"
2922,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"28,00"
2923,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"444,00"
2924,0.0,0.0,0.0,0.0,0.0,hospDia,2013,"479,00"
2925,15753.0,1356590.0,1356590.0,0.0,0.0,hospDia,2013,"285,00"
